Date,MaxT,WS_Name
26666,4,AALBORG
26667,,COPENHAGEN KASTRUP
26668,,COPENHAGEN KASTRUP
26669,8,AALBORG
26670,6,AALBORG
26672,3,AALBORG
26675,,COPENHAGEN KASTRUP
26677,,SKAGEN
26682,,COPENHAGEN KASTRUP
26683,,SKAGEN
26686,,THYBOROEN
26687,,SKAGEN
26688,2,AALBORG
26692,,COPENHAGEN KASTRUP
26692,5,AALBORG
26693,,COPENHAGEN KASTRUP
26695,,COPENHAGEN KASTRUP
26697,,THYBOROEN
26670,,COPENHAGEN KASTRUP
26671,4,AALBORG
26673,,COPENHAGEN KASTRUP
26676,,SKAGEN
26685,,THYBOROEN
26685,2,AALBORG
26686,,COPENHAGEN KASTRUP
26687,,COPENHAGEN KASTRUP
26687,2,AALBORG
26688,,COPENHAGEN KASTRUP
26689,,THYBOROEN
26689,,SKAGEN
26696,,SKAGEN
26696,,THYBOROEN
26696,4,AALBORG
26707,,THYBOROEN
26707,6,AALBORG
26708,2,AALBORG
26710,4,AALBORG
26713,,SKAGEN
26714,,SKAGEN
26700,,COPENHAGEN KASTRUP
26701,,SKAGEN
26701,,THYBOROEN
26702,,SKAGEN
26710,,COPENHAGEN KASTRUP
26715,,SKAGEN
26718,,COPENHAGEN KASTRUP
26720,,THYBOROEN
26722,0,AALBORG
26723,6,AALBORG
26727,,SKAGEN
26728,,SKAGEN
26732,,COPENHAGEN KASTRUP
26733,,SKAGEN
26737,7,AALBORG
26740,,SKAGEN
26740,,THYBOROEN
26743,,COPENHAGEN KASTRUP
26743,10,AALBORG
26747,,THYBOROEN
26748,11,AALBORG
26750,,COPENHAGEN KASTRUP
26751,,SKAGEN
26752,,SKAGEN
26754,,THYBOROEN
26755,,COPENHAGEN KASTRUP
26756,7,AALBORG
26757,,COPENHAGEN KASTRUP
26666,,COPENHAGEN KASTRUP
26677,,COPENHAGEN KASTRUP
26680,,SKAGEN
26681,2,AALBORG
26688,,THYBOROEN
26690,,COPENHAGEN KASTRUP
26690,6,AALBORG
26692,,SKAGEN
26693,,THYBOROEN
26699,,SKAGEN
26700,6,AALBORG
26704,,COPENHAGEN KASTRUP
26707,,SKAGEN
26707,,COPENHAGEN KASTRUP
26708,,COPENHAGEN KASTRUP
26708,,THYBOROEN
26709,,COPENHAGEN KASTRUP
26714,6,AALBORG
26716,,COPENHAGEN KASTRUP
26716,9,AALBORG
26717,,SKAGEN
26719,,COPENHAGEN KASTRUP
26724,,SKAGEN
26725,4,AALBORG
26726,4,AALBORG
26758,,SKAGEN
26759,,COPENHAGEN KASTRUP
26760,7,AALBORG
26765,,SKAGEN
26772,,THYBOROEN
26773,,COPENHAGEN KASTRUP
26779,,THYBOROEN
26782,,COPENHAGEN KASTRUP
26786,,COPENHAGEN KASTRUP
26787,15,AALBORG
26788,,COPENHAGEN KASTRUP
26793,,COPENHAGEN KASTRUP
26795,,SKAGEN
26795,10,AALBORG
26800,,COPENHAGEN KASTRUP
26801,,SKAGEN
26804,,THYBOROEN
26805,16,AALBORG
26808,,SKAGEN
26811,,COPENHAGEN KASTRUP
26813,21,AALBORG
26818,,COPENHAGEN KASTRUP
26819,16,AALBORG
26820,17,AALBORG
26821,18,AALBORG
26822,,THYBOROEN
26825,,COPENHAGEN KASTRUP
26826,,SKAGEN
26832,,COPENHAGEN KASTRUP
26836,,COPENHAGEN KASTRUP
26840,,SKAGEN
26840,,THYBOROEN
26842,,SKAGEN
26843,,COPENHAGEN KASTRUP
26844,,THYBOROEN
26847,,THYBOROEN
26849,24,AALBORG
26850,,COPENHAGEN KASTRUP
26851,,SKAGEN
26853,,SKAGEN
26854,,THYBOROEN
26858,,SKAGEN
26863,,THYBOROEN
26865,,SKAGEN
26868,,COPENHAGEN KASTRUP
26874,26,AALBORG
26875,,COPENHAGEN KASTRUP
26875,21,AALBORG
26876,,SKAGEN
26878,24,AALBORG
26879,,THYBOROEN
26883,20,AALBORG
26884,,THYBOROEN
26886,,COPENHAGEN KASTRUP
26887,18,AALBORG
26716,,THYBOROEN
26717,,THYBOROEN
26720,,COPENHAGEN KASTRUP
26720,2,AALBORG
26722,,THYBOROEN
26723,,COPENHAGEN KASTRUP
26725,,COPENHAGEN KASTRUP
26726,,THYBOROEN
26728,,THYBOROEN
26729,,THYBOROEN
26731,,SKAGEN
26731,,THYBOROEN
26734,,THYBOROEN
26735,,THYBOROEN
26736,6,AALBORG
26737,,COPENHAGEN KASTRUP
26738,,COPENHAGEN KASTRUP
26740,,COPENHAGEN KASTRUP
26741,9,AALBORG
26745,,SKAGEN
26746,,SKAGEN
26749,,THYBOROEN
26751,7,AALBORG
26752,,THYBOROEN
26758,,COPENHAGEN KASTRUP
26760,,THYBOROEN
26763,,SKAGEN
26764,,SKAGEN
26667,7,AALBORG
26668,3,AALBORG
26671,,COPENHAGEN KASTRUP
26672,,COPENHAGEN KASTRUP
26675,-1,AALBORG
26676,2,AALBORG
26684,,COPENHAGEN KASTRUP
26686,2,AALBORG
26689,,COPENHAGEN KASTRUP
26694,,SKAGEN
26695,,SKAGEN
26677,2,AALBORG
26679,,COPENHAGEN KASTRUP
26679,2,AALBORG
26681,,COPENHAGEN KASTRUP
26682,,SKAGEN
26686,,SKAGEN
26688,,SKAGEN
26689,3,AALBORG
26691,,COPENHAGEN KASTRUP
26691,4,AALBORG
26693,7,AALBORG
26694,,THYBOROEN
26694,2,AALBORG
26696,,COPENHAGEN KASTRUP
26698,,COPENHAGEN KASTRUP
26699,7,AALBORG
26705,,SKAGEN
26705,,THYBOROEN
26706,,SKAGEN
26708,,SKAGEN
26709,,THYBOROEN
26711,,COPENHAGEN KASTRUP
26711,1,AALBORG
26713,,COPENHAGEN KASTRUP
26890,,SKAGEN
26890,,THYBOROEN
26892,28,AALBORG
26893,,COPENHAGEN KASTRUP
26896,16,AALBORG
26897,,THYBOROEN
26897,17,AALBORG
26898,16,AALBORG
26900,,COPENHAGEN KASTRUP
26901,,SKAGEN
26904,,THYBOROEN
26909,,THYBOROEN
26911,,COPENHAGEN KASTRUP
26911,19,AALBORG
26915,,SKAGEN
26915,,THYBOROEN
26919,,SKAGEN
26922,,THYBOROEN
26925,,COPENHAGEN KASTRUP
26926,,SKAGEN
26928,,SKAGEN
26928,,THYBOROEN
26930,,THYBOROEN
26930,16,AALBORG
26935,,SKAGEN
26936,,SKAGEN
26939,15,AALBORG
26940,,SKAGEN
26940,,THYBOROEN
26713,2,AALBORG
26715,,COPENHAGEN KASTRUP
26720,,SKAGEN
26722,,SKAGEN
26724,,THYBOROEN
26727,,THYBOROEN
26730,,COPENHAGEN KASTRUP
26730,,THYBOROEN
26737,,SKAGEN
26738,8,AALBORG
26739,,SKAGEN
26741,,THYBOROEN
26743,,THYBOROEN
26745,,COPENHAGEN KASTRUP
26746,12,AALBORG
