Cultivo;Campaña;Provincia;idProvincia;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
Ajo;1969/70;"BUENOS AIRES";6;5290;5290;23458;4434
Ajo;1970/71;"BUENOS AIRES";6;5690;5620;25358;4512
Ajo;1971/72;"BUENOS AIRES";6;5960;5930;26860;4530
Ajo;1972/73;"BUENOS AIRES";6;6640;6600;32658;4948
Ajo;1973/74;"BUENOS AIRES";6;7690;7685;39959;5200
Ajo;1974/75;"BUENOS AIRES";6;7290;7290;37959;5207
Ajo;1975/76;"BUENOS AIRES";6;7740;7740;39458;5098
Ajo;1976/77;"BUENOS AIRES";6;8390;8390;42358;5049
Ajo;1977/78;"BUENOS AIRES";6;8990;8990;40960;4556
Ajo;1978/79;"BUENOS AIRES";6;8890;8890;39960;4495
Ajo;1979/80;"BUENOS AIRES";6;8890;8890;40960;4607
Ajo;1980/81;"BUENOS AIRES";6;6722;6722;30957;4605
Ajo;1981/82;"BUENOS AIRES";6;1610;1610;6800;4224
Ajo;1982/83;"BUENOS AIRES";6;1630;1630;7100;4356
Ajo;1983/84;"BUENOS AIRES";6;1810;1810;7200;3978
Ajo;1984/85;"BUENOS AIRES";6;1550;1550;6200;4000
Ajo;1985/86;"BUENOS AIRES";6;1100;1100;4100;3727
Ajo;1986/87;"BUENOS AIRES";6;830;830;3690;4446
Ajo;1987/88;"BUENOS AIRES";6;1130;1130;4400;3894
Ajo;1988/89;"BUENOS AIRES";6;1050;1050;4400;4190
Ajo;1989/90;"BUENOS AIRES";6;630;583;3102;5321
Ajo;1990/91;"BUENOS AIRES";6;850;793;4430;5586
Ajo;1991/92;"BUENOS AIRES";6;1070;1002;5357;5346
Ajo;1992/93;"BUENOS AIRES";6;590;501;2930;5848
Ajo;1993/94;"BUENOS AIRES";6;509;504;2555;5069
Ajo;1994/95;"BUENOS AIRES";6;706;650;3448;5305
Ajo;1995/96;"BUENOS AIRES";6;820;745;4175;5604
Ajo;1996/97;"BUENOS AIRES";6;598;502;2810;5598
Ajo;1997/98;"BUENOS AIRES";6;837;762;4963;6513
Ajo;1969/70;CATAMARCA;10;90;90;90;1000
Ajo;1970/71;CATAMARCA;10;76;62;50;806
Ajo;1971/72;CATAMARCA;10;90;90;50;556
Ajo;1972/73;CATAMARCA;10;49;39;50;1282
Ajo;1973/74;CATAMARCA;10;45;45;82;1822
Ajo;1974/75;CATAMARCA;10;40;40;90;2250
Ajo;1975/76;CATAMARCA;10;130;130;250;1923
Ajo;1976/77;CATAMARCA;10;190;190;370;1947
Ajo;1977/78;CATAMARCA;10;220;220;520;2364
Ajo;1978/79;CATAMARCA;10;223;223;470;2108
Ajo;1979/80;CATAMARCA;10;225;225;510;2267
Ajo;1980/81;CATAMARCA;10;207;207;520;2512
Ajo;1981/82;CATAMARCA;10;198;198;483;2439
Ajo;1982/83;CATAMARCA;10;180;180;440;2444
Ajo;1983/84;CATAMARCA;10;238;238;600;2521
Ajo;1984/85;CATAMARCA;10;230;230;590;2565
Ajo;1985/86;CATAMARCA;10;220;220;570;2591
Ajo;1986/87;CATAMARCA;10;300;300;750;2500
Ajo;1987/88;CATAMARCA;10;280;280;700;2500
Ajo;1988/89;CATAMARCA;10;200;200;520;2600
Ajo;1989/90;CATAMARCA;10;190;180;494;2744
Ajo;1990/91;CATAMARCA;10;280;280;750;2679
Ajo;1991/92;CATAMARCA;10;227;227;481;2119
Ajo;1992/93;CATAMARCA;10;120;120;232;1933
Ajo;1993/94;CATAMARCA;10;240;240;552;2300
Ajo;1994/95;CATAMARCA;10;119;119;418;3513
Ajo;1995/96;CATAMARCA;10;111;111;435;3919
Ajo;1996/97;CATAMARCA;10;111;111;435;3919
Ajo;1997/98;CATAMARCA;10;113;113;493;4363
