id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
116404,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,OLASCOAGA CNEL. MANUEL JOS,1520,,0,5434871.56442043,6355059.80100265,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.696474, -32.945382 ] } }"
116403,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,OLASCOAGA CNEL. MANUEL JOS,1220,,0,5434852.51067342,6355472.90326624,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.696648, -32.941656 ] } }"
116402,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,LARREA JUAN,1520,,0,5434802.70638334,6355056.61323733,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.697210, -32.945406 ] } }"
116399,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,FUHR TOMAS,1280,,0,5434719.16639566,6355354.30198235,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.698082, -32.942717 ] } }"
116401,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,LARREA JUAN,1220,,0,5434782.61917932,6355483.92969046,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.697395, -32.941552 ] } }"
101125,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,FUHR TOMAS,1220,,0,5434712.56639566,6355495.34573235,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.698143, -32.941445 ] } }"
101129,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,FUHR TOMAS,1520,,0,5434733.48135499,6355053.40597425,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.697951, -32.945431 ] } }"
102122,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,OLASCOAGA CNEL. MANUEL JOS,1580,,0,5434878.05817043,6354920.60100265,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.696414, -32.946637 ] } }"
119573,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ESPAÑA,3402,,0,5438832.32440804,6351759.31416917,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.654340, -32.975368 ] } }"
119575,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ESPAÑA,3518,,0,5438805.20398594,6351625.53887868,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.654639, -32.976573 ] } }"
119533,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ESPAÑA,3210,,0,5438884.92277663,6352016.04716378,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.653760, -32.973057 ] } }"
119527,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ESPAÑA,3020,,0,5438935.40830881,6352257.56099659,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.653204, -32.970882 ] } }"
119528,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ESPAÑA,3114,,0,5438911.10320184,6352138.47737257,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.653472, -32.971954 ] } }"
119525,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ESPAÑA,2818,,0,5438988.09168207,6352515.0968188,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.652623, -32.968563 ] } }"
119526,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,ESPAÑA,2910,,0,5438964.33089587,6352397.99414211,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.652885, -32.969617 ] } }"
116400,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,FUHR TOMAS,1580,,0,5434740.19385499,6354914.98097425,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.697889, -32.946679 ] } }"
101599,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,LARREA JUAN,1280,,0,5434788.58585439,6355354.26874925,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.697340, -32.942722 ] } }"
119509,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ENTRE RIOS,2614,,0,5439560.81797689,6352661.69269297,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.646488, -32.967273 ] } }"
119516,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ENTRE RIOS,3210,,0,5439404.22309862,6351907.17551987,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.648212, -32.974067 ] } }"
119511,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ENTRE RIOS,2810,,0,5439510.00733065,6352416.84422906,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.647047, -32.969478 ] } }"
116566,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,13105,3820,,0,5432538.59466257,6362138.48835583,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.720903, -32.881417 ] } }"
116565,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Limpar,13105,3880,,0,5432525.112446,6362220.15527453,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.721041, -32.880680 ] } }"
