Partido	Poblacion	Superficie	Densidad	Partos16	Cesareas16
Arrecifes	29044	1240,67	23,41	403	280
Baradero	32761	1591,87	20,58	263	151
Capitán Sarmiento	14494	548,89	26,41	244	184
Carmen de Areco	14692	1061,31	13,84	167	112
Colón	24890	994,57	25,03	210	136
Pergamino	104590	3010,19	34,75	972	388
Ramallo	33042	951,51	34,73	265	114
Rojas	23432	1978,87	11,84	159	116
Salto	32653	1611,08	20,27	285	139
San Andrés de Giles	23027	1132,04	20,34	309	145
San Antonio de Areco	23138	857,59	26,98	240	132
San Nicolás	145857	652,26	223,62	1131	493
San Pedro	59036	1319,3	44,75	607	254

